file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
components\general-overheads\GeneralOverheadStatusStrip.jsx,GeneralOverheadStatusStrip.jsx,components,3,warning_count,snake_case,snake_case_reference,warning_id,general-overheads,"is_ready, warning_count, warnings,"
lib\selectors\general-overheads\generalOverheadCardSelector.js,generalOverheadCardSelector.js,lib,40,warning_count,snake_case,object_key,warning_id,general-overheads,"is_ready: warnings.length === 0, warning_count: warnings.length, warnings,"
lib\selectors\general-overheads\generalOverheadWarnings.js,generalOverheadWarnings.js,lib,13,warning_key,snake_case,object_key,warning_id,general-overheads,"warnings.push({ warning_key: ""overhead_line_needs_allocation_type"", message: `${row.line_label} needs a system allocation type before it can support downstream asset modelling.`,"
lib\selectors\general-overheads\generalOverheadWarnings.js,generalOverheadWarnings.js,lib,23,warning_key,snake_case,object_key,warning_id,general-overheads,"warnings.push({ warning_key: ""asset_pool_over_allocated"", message: `${group.category_label} has more allocated than the P&L source total.`,"
lib\selectors\general-overheads\generalOverheadWarnings.js,generalOverheadWarnings.js,lib,31,warning_key,snake_case,object_key,warning_id,general-overheads,"warnings.push({ warning_key: ""asset_pool_partially_allocated"", message: `${group.category_label} is partially assigned. The remaining amount stays in General Overheads.`,"
lib\selectors\general-overheads\generalOverheadCardSelector.js,generalOverheadCardSelector.js,lib,15,warnings,plain,declaration,warnings_field,general-overheads,}) { const warnings = [];
lib\selectors\general-overheads\generalOverheadWarnings.js,generalOverheadWarnings.js,lib,4,warnings,plain,declaration,warnings_field,general-overheads,"export function build_allocation_pool_warnings(rows = [], group_summaries = []) { const warnings = [];"
components\labour\SavedProfilesCard.jsx,SavedProfilesCard.jsx,components,106,Active,PascalCase,quoted_object_key,object_field,labour,"<span className=""ui-pill""> {is_active ? ""Active"" : ""Saved""} </span>"
components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx,CostAllocationGroupLabourBuilder.jsx,components,275,Example,PascalCase,object_key,object_field,labour,"? `Max: ${selected_remaining_staff_count}` : ""Example: 2"" }"
components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx,CostAllocationGroupLabourBuilder.jsx,components,280,Example,PascalCase,object_key,object_field,labour,"<p className=""ui-help""> Example: if Site Crew has 3 staff and this group needs 2, enter 2. </p>"
components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx,CostAllocationGroupLabourBuilder.jsx,components,297,Example,PascalCase,object_key,object_field,labour,"? `Max: ${selected_remaining_percent}` : ""Example: 100"" }"
components\labour-rate-reality-check\LabourRateRealityCheckHelpPanel.jsx,LabourRateRealityCheckHelpPanel.jsx,components,23,Hide,PascalCase,quoted_object_key,object_field,labour,"> {is_open ? ""Hide"" : ""Show""} </button>"
components\labour\LabourSummaryCard.jsx,LabourSummaryCard.jsx,components,113,Hide,PascalCase,quoted_object_key,object_field,labour,"{has_breakdown ? ( <div className=""ui-pill"">{is_open ? ""Hide"" : ""Drill down""}</div> ) : null}"
components\labour\LabourSummaryCard.jsx,LabourSummaryCard.jsx,components,69,Hide,PascalCase,quoted_object_key,object_field,labour,"{has_child_rows ? ( <div className=""ui-help"">{is_open ? ""Hide"" : ""Drill down""}</div> ) : null}"
components\rate-builder\RateBuilderLabourRatesResultPanel.jsx,RateBuilderLabourRatesResultPanel.jsx,components,91,Leak,PascalCase,object_key,object_field,labour,)} / ${labour_unit_label}` : `Leak: ${format_currency( Math.abs(current_rate_gap_to_minimum)
components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx,CostAllocationGroupLabourBuilder.jsx,components,274,Max,PascalCase,object_key,object_field,labour,"selected_remaining_staff_count > 0 ? `Max: ${selected_remaining_staff_count}` : ""Example: 2"""
components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx,CostAllocationGroupLabourBuilder.jsx,components,296,Max,PascalCase,object_key,object_field,labour,"selected_remaining_percent > 0 ? `Max: ${selected_remaining_percent}` : ""Example: 100"""
components\labour\LabourStatusStrip.jsx,LabourStatusStrip.jsx,components,58,Ready,PascalCase,quoted_object_key,readiness_field,labour,"<span className=""ui-pill""> {labour_ready ? ""Ready"" : ""Not ready""} </span>"
