"module_name","variable_name","audit_status","same_variable_exists_in_brief","brief_lookup_column_used","brief_modules_or_files_with_same_variable","pass_3_review_type","recommended_decision","reviewer_notes","code_files","notes"
"labour","labour_rate_reality_check","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_value","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","productive_labour_types","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","recovery_plan","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","required_labour_class","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","safe_array","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"model-readiness","model_readiness","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | lib\selectors\costSummarySelectors.js","implemented_contract_not_documented_in_brief"
"module-reconciliation","has_legacy_running_cost","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"module-reconciliation","legacy_running_cost_check","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_general_overheads_from_pnl","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
