module_name,variable_name,likely_role,variable_style,occurrence_count,source_areas,source_files,first_seen_file,first_seen_line,extraction_types,notes
general-overheads,allocation_outputs,output_contract_field,snake_case,4,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,461,declaration | snake_case_reference,multiple_roles_detected | downstream_contract_candidate
general-overheads,build_general_overhead_allocation_outputs,output_contract_field,snake_case,1,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,461,snake_case_reference,downstream_contract_candidate
general-overheads,current_overhead_state,output_contract_field,snake_case,3,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,304,object_key | snake_case_reference,downstream_contract_candidate
general-overheads,employee_overheads_benchmark_total,output_contract_field,snake_case,1,lib,lib\reconciliation\reconciliationRules.js,lib\reconciliation\reconciliationRules.js,19,snake_case_reference,downstream_contract_candidate
general-overheads,employee_overheads_check,output_contract_field,snake_case,1,lib,lib\reconciliation\reconciliationRules.js,lib\reconciliation\reconciliationRules.js,293,declaration,downstream_contract_candidate
general-overheads,employee_overheads_lines,output_contract_field,snake_case,2,lib,lib\reconciliation\reconciliationRules.js,lib\reconciliation\reconciliationRules.js,20,snake_case_reference,downstream_contract_candidate
general-overheads,general_overheads,output_contract_field,snake_case,7,app | components | hooks,app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js,app\cost-summary\page.jsx,17,object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
general-overheads,general_overheads_benchmark_total,output_contract_field,snake_case,2,lib,lib\reconciliation\reconciliationRules.js,lib\reconciliation\reconciliationRules.js,215,declaration | snake_case_reference,downstream_contract_candidate
general-overheads,general_overheads_output,output_contract_field,snake_case,1,components,components\model-readiness\ModelReadinessAuditPanel.jsx,components\model-readiness\ModelReadinessAuditPanel.jsx,45,declaration,downstream_contract_candidate
general-overheads,general_overheads_output_contract,output_contract_field,snake_case,14,hooks | lib,hooks\useCostSummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,hooks\useCostSummary.js,24,declaration | snake_case_reference,appears_in_multiple_files | downstream_contract_candidate
general-overheads,general_overheads_outputs,output_contract_field,snake_case,1,hooks,hooks\useRecoverySummary.js,hooks\useRecoverySummary.js,34,declaration,downstream_contract_candidate
general-overheads,general_overheads_status,output_contract_field,snake_case,5,lib,lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,lib\reconciliation\moduleReconciliation.js,16,declaration | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
general-overheads,grouped_overhead_rows,output_contract_field,snake_case,2,components | lib,components\general-overheads\GeneralOverheadSummaryCard.jsx | lib\selectors\general-overheads\generalOverheadCardSelector.js,components\general-overheads\GeneralOverheadSummaryCard.jsx,104,object_key | snake_case_reference,appears_in_multiple_files | downstream_contract_candidate
general-overheads,grouped_summary,output_contract_field,snake_case,1,lib,lib\selectors\general-overheads\generalOverheadCardSelector.js,lib\selectors\general-overheads\generalOverheadCardSelector.js,103,snake_case_reference,downstream_contract_candidate
general-overheads,is_hydrated,output_contract_field,snake_case,6,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,392,array_destructured_name | snake_case_reference,multiple_roles_detected | downstream_contract_candidate
general-overheads,operating_expense_lines,output_contract_field,snake_case,6,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,282,declaration | snake_case_reference,downstream_contract_candidate
general-overheads,output_contract,output_contract_field,snake_case,11,components | hooks | lib,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js,components\general-overheads\GeneralOverheadSummaryCard.jsx,105,output_contract_reference,appears_in_multiple_files | downstream_contract_candidate
general-overheads,overhead_rows,output_contract_field,snake_case,8,components | hooks,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useCostSummary.js,components\general-overheads\GeneralOverheadSummaryCard.jsx,172,object_key | snake_case_reference,appears_in_multiple_files | downstream_contract_candidate
general-overheads,overhead_state,output_contract_field,snake_case,2,hooks | lib,hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js,hooks\useGeneralOverheads.js,664,snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
general-overheads,pool_key,output_contract_field,snake_case,1,components,components\general-overheads\GeneralOverheadSummaryCard.jsx,components\general-overheads\GeneralOverheadSummaryCard.jsx,184,snake_case_reference,downstream_contract_candidate
general-overheads,system_allocation_amount_overrides,output_contract_field,snake_case,13,hooks,hooks\useGeneralOverheads.js,hooks\useGeneralOverheads.js,354,object_key | snake_case_reference,multiple_roles_detected | downstream_contract_candidate
general-overheads,total_business_overheads,output_contract_field,snake_case,8,hooks | lib,hooks\useBusinessSummary.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\quoteEngineCalculations.js,hooks\useBusinessSummary.js,50,declaration | object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
general-overheads,total_general_overheads,output_contract_field,snake_case,5,hooks | lib,hooks\useCostSummary.js | hooks\useGeneralOverheads.js | lib\reconciliation\reconciliationRules.js,hooks\useCostSummary.js,30,declaration | object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
